HourUTC,PriceArea,product,amount,PriceDKK,PriceEUR
2019-05-08T02:00:00+00:00,NO2,Elspot,1,310.93,41.65
2019-05-08T02:00:00+00:00,DK2,Elspot,1,299.96,40.18
2019-05-08T02:00:00+00:00,DK1,Elspot,1,299.96,40.18
2019-05-08T01:00:00+00:00,SYSTEM,Elspot,1,306.6,41.07
2019-05-08T01:00:00+00:00,SE4,Elspot,1,302.2,40.48
2019-05-08T01:00:00+00:00,SE3,Elspot,1,302.2,40.48
2019-05-08T01:00:00+00:00,NO2,Elspot,1,313.17,41.95
2019-05-08T01:00:00+00:00,DK2,Elspot,1,303.84,40.7
2019-05-08T01:00:00+00:00,DK1,Elspot,1,303.84,40.7
2019-05-08T00:00:00+00:00,SYSTEM,Elspot,1,308.62,41.34
2019-05-08T00:00:00+00:00,SE4,Elspot,1,275.02,36.84
2019-05-08T00:00:00+00:00,SE3,Elspot,1,275.02,36.84
2019-05-08T00:00:00+00:00,NO2,Elspot,1,315.56,42.27
2019-05-08T00:00:00+00:00,DK2,Elspot,1,268.45,35.96
2019-05-08T00:00:00+00:00,DK1,Elspot,1,268.45,35.96
2019-05-07T23:00:00+00:00,SYSTEM,Elspot,1,313.32,41.97
2019-05-07T23:00:00+00:00,SE4,Elspot,1,291.37,39.03
2019-05-07T23:00:00+00:00,SE3,Elspot,1,291.37,39.03
2019-05-07T23:00:00+00:00,NO2,Elspot,1,318.32,42.64
2019-05-07T23:00:00+00:00,DK2,Elspot,1,291.37,39.03
2019-05-07T23:00:00+00:00,DK1,Elspot,1,291.37,39.03
2019-05-07T22:00:00+00:00,SYSTEM,Elspot,1,319.66,42.82
2019-05-07T22:00:00+00:00,SE4,Elspot,1,307.05,41.13
2019-05-07T22:00:00+00:00,SE3,Elspot,1,307.05,41.13
2019-05-07T22:00:00+00:00,NO2,Elspot,1,325.86,43.65
2019-05-07T22:00:00+00:00,DK2,Elspot,1,329.82,44.18
2019-05-07T22:00:00+00:00,DK1,Elspot,1,329.82,44.18
2019-05-07T21:00:00+00:00,SYSTEM,Elspot,1,323.14,43.28
2019-05-07T21:00:00+00:00,SE4,Elspot,1,319.63,42.81
2019-05-07T21:00:00+00:00,SE3,Elspot,1,319.63,42.81
2019-05-07T21:00:00+00:00,NO2,Elspot,1,325.23,43.56
2019-05-07T21:00:00+00:00,DK2,Elspot,1,335.98,45
2019-05-07T21:00:00+00:00,DK1,Elspot,1,335.98,45
2019-05-07T21:00:00+00:00,DE,Elspot,1,335.98,45
2019-05-07T20:00:00+00:00,SYSTEM,Elspot,1,333.96,44.73
2019-05-07T20:00:00+00:00,SE4,Elspot,1,328.51,44
2019-05-07T20:00:00+00:00,SE3,Elspot,1,328.51,44
2019-05-07T20:00:00+00:00,NO2,Elspot,1,328.51,44
2019-05-07T20:00:00+00:00,DK2,Elspot,1,380.63,50.98
2019-05-07T20:00:00+00:00,DK1,Elspot,1,380.63,50.98
2019-05-07T20:00:00+00:00,DE,Elspot,1,380.63,50.98
2019-05-07T19:00:00+00:00,SYSTEM,Elspot,1,341.95,45.8
2019-05-07T19:00:00+00:00,SE4,Elspot,1,336.43,45.06
2019-05-07T19:00:00+00:00,SE3,Elspot,1,336.43,45.06
2019-05-07T19:00:00+00:00,NO2,Elspot,1,336.43,45.06
2019-05-07T19:00:00+00:00,DK2,Elspot,1,410.64,55
2019-05-07T19:00:00+00:00,DK1,Elspot,1,410.64,55
2019-05-07T19:00:00+00:00,DE,Elspot,1,410.64,55
