HourUTC,product,amount,PriceArea,PriceDKK,PriceEUR
2019-05-04T14:00:00+00:00,aFRR_UpActivated,37.1,DK1,343.94,46.07
2019-05-04T13:00:00+00:00,aFRR_DownActivated,35.8,DK1,-129.98,-17.41
2019-05-04T13:00:00+00:00,aFRR_UpActivated,28.9,DK1,346.33,46.39
2019-05-04T12:00:00+00:00,aFRR_DownActivated,20.1,DK1,-149.31,-20
2019-05-04T12:00:00+00:00,aFRR_UpActivated,3.2,DK1,360.89,48.34
2019-05-04T11:00:00+00:00,aFRR_DownActivated,99.3,DK1,-48.97,-6.56
2019-05-04T11:00:00+00:00,aFRR_UpActivated,0,DK1,376.04,50.37
2019-05-04T10:00:00+00:00,aFRR_DownActivated,85.3,DK1,-109.97,-14.73
2019-05-04T10:00:00+00:00,aFRR_UpActivated,0,DK1,402.77,53.95
2019-05-04T09:00:00+00:00,aFRR_DownActivated,0.1,DK1,0,0
2019-05-04T09:00:00+00:00,aFRR_UpActivated,47.2,DK1,418.37,56.04
2019-05-04T08:00:00+00:00,aFRR_DownActivated,7.2,DK1,225.69,30.23
2019-05-04T08:00:00+00:00,aFRR_UpActivated,66.9,DK1,425.61,57.01
2019-05-04T07:00:00+00:00,aFRR_DownActivated,13.7,DK1,236.51,31.68
2019-05-04T07:00:00+00:00,aFRR_UpActivated,18.8,DK1,436.44,58.46
2019-05-04T06:00:00+00:00,aFRR_DownActivated,99,DK1,235.99,31.61
2019-05-04T06:00:00+00:00,aFRR_UpActivated,0,DK1,435.92,58.39
2019-05-04T05:00:00+00:00,aFRR_DownActivated,27.3,DK1,205.15,27.48
2019-05-04T05:00:00+00:00,aFRR_UpActivated,0,DK1,405.08,54.26
2019-05-04T04:00:00+00:00,aFRR_DownActivated,67.5,DK1,-129.98,-17.41
2019-05-04T04:00:00+00:00,aFRR_UpActivated,0,DK1,365.67,48.98
2019-05-04T03:00:00+00:00,aFRR_DownActivated,99.1,DK1,-129.98,-17.41
2019-05-04T03:00:00+00:00,aFRR_UpActivated,0,DK1,357.6,47.9
2019-05-04T02:00:00+00:00,aFRR_DownActivated,31.4,DK1,134.38,18
2019-05-04T02:00:00+00:00,aFRR_UpActivated,33.2,DK1,361.11,48.37
2019-05-04T01:00:00+00:00,aFRR_DownActivated,49.3,DK1,134.38,18
2019-05-04T01:00:00+00:00,aFRR_UpActivated,13.5,DK1,360.51,48.29
2019-05-04T00:00:00+00:00,aFRR_DownActivated,0.2,DK1,149.31,20
