id,Timestamp,Area,Product,Amount,Price_DKK,Price_EUR
178,2019-04-24T07:00:00+00:00,DK1,aFRR_UpActivated,55.8,413.3,55.36
179,2019-04-24T06:00:00+00:00,DK1,aFRR_DownActivated,75.8,227.4,30.46
180,2019-04-24T06:00:00+00:00,DK1,aFRR_UpActivated,0.9,427.33,57.24
181,2019-04-24T05:00:00+00:00,DK1,aFRR_DownActivated,49.4,222.4,29.79
182,2019-04-24T05:00:00+00:00,DK1,aFRR_UpActivated,4.2,422.33,56.57
183,2019-04-24T04:00:00+00:00,DK1,aFRR_DownActivated,20.5,199.41,26.71
184,2019-04-24T04:00:00+00:00,DK1,aFRR_UpActivated,29.6,399.33,53.49
185,2019-04-24T03:00:00+00:00,DK1,aFRR_DownActivated,17.2,61.96,8.3
186,2019-04-24T03:00:00+00:00,DK1,aFRR_UpActivated,34.2,261.89,35.08
187,2019-04-24T02:00:00+00:00,DK1,aFRR_DownActivated,11.1,-60.02,-8.04
188,2019-04-24T02:00:00+00:00,DK1,aFRR_UpActivated,4.8,139.91,18.74
189,2019-04-24T01:00:00+00:00,DK1,aFRR_DownActivated,76.1,-73.46,-9.84
190,2019-04-24T01:00:00+00:00,DK1,aFRR_UpActivated,0,126.47,16.94
191,2019-04-24T00:00:00+00:00,DK1,aFRR_DownActivated,93.1,-70.62,-9.46
192,2019-04-24T00:00:00+00:00,DK1,aFRR_UpActivated,0,129.3,17.32
193,2019-04-23T23:00:00+00:00,DK1,aFRR_DownActivated,0.3,-69.43,-9.3
194,2019-04-23T23:00:00+00:00,DK1,aFRR_UpActivated,71.6,130.5,17.48
195,2019-04-23T22:00:00+00:00,DK1,aFRR_DownActivated,7.8,-83.69,-11.21
196,2019-04-23T22:00:00+00:00,DK1,aFRR_UpActivated,67.2,116.24,15.57
197,2019-04-23T21:00:00+00:00,DK1,aFRR_DownActivated,64.6,77.04,10.32
198,2019-04-23T21:00:00+00:00,DK1,aFRR_UpActivated,0,276.97,37.1
199,2019-04-23T20:00:00+00:00,DK1,aFRR_DownActivated,7.8,119.3,15.98
200,2019-04-23T20:00:00+00:00,DK1,aFRR_UpActivated,39.5,319.23,42.76
201,2019-04-23T19:00:00+00:00,DK1,aFRR_DownActivated,80.1,171.56,22.98
202,2019-04-23T19:00:00+00:00,DK1,aFRR_UpActivated,7.8,371.49,49.76
203,2019-04-23T18:00:00+00:00,DK1,aFRR_DownActivated,51.1,203.74,27.29
204,2019-04-23T18:00:00+00:00,DK1,aFRR_UpActivated,0.6,403.66,54.07
205,2019-04-23T17:00:00+00:00,DK1,aFRR_DownActivated,86.4,206.95,27.72
206,2019-04-23T17:00:00+00:00,DK1,aFRR_UpActivated,0,406.88,54.5
207,2019-04-23T16:00:00+00:00,DK1,aFRR_DownActivated,26.4,188.06,25.19
208,2019-04-23T16:00:00+00:00,DK1,aFRR_UpActivated,0,387.99,51.97
209,2019-04-23T15:00:00+00:00,DK1,aFRR_DownActivated,18.7,135.65,18.17
210,2019-04-23T15:00:00+00:00,DK1,aFRR_UpActivated,26.1,335.58,44.95
211,2019-04-23T14:00:00+00:00,DK1,aFRR_DownActivated,70.7,-2.31,-0.31
212,2019-04-23T14:00:00+00:00,DK1,aFRR_UpActivated,0.4,197.61,26.47
213,2019-04-23T13:00:00+00:00,DK1,aFRR_DownActivated,93,-98.99,-13.26
214,2019-04-23T13:00:00+00:00,DK1,aFRR_UpActivated,1.8,100.93,13.52
215,2019-04-23T12:00:00+00:00,DK1,aFRR_DownActivated,0,-133.48,-17.88
216,2019-04-23T12:00:00+00:00,DK1,aFRR_UpActivated,99.9,66.44,8.9
217,2019-04-23T11:00:00+00:00,DK1,aFRR_DownActivated,0.4,-174.4,-23.36
218,2019-04-23T11:00:00+00:00,DK1,aFRR_UpActivated,18,25.53,3.42
219,2019-04-23T10:00:00+00:00,DK1,aFRR_DownActivated,4.9,-174.47,-23.37
220,2019-04-23T10:00:00+00:00,DK1,aFRR_UpActivated,62.8,25.46,3.41
221,2019-04-23T09:00:00+00:00,DK1,aFRR_DownActivated,32.1,-99.74,-13.36
222,2019-04-23T09:00:00+00:00,DK1,aFRR_UpActivated,16.1,100.19,13.42
223,2019-04-23T08:00:00+00:00,DK1,aFRR_DownActivated,88.8,22.99,3.08
224,2019-04-23T08:00:00+00:00,DK1,aFRR_UpActivated,0,222.92,29.86
225,2019-04-23T07:00:00+00:00,DK1,aFRR_DownActivated,8.7,108.4,14.52
226,2019-04-23T07:00:00+00:00,DK1,aFRR_UpActivated,24.6,308.33,41.3
227,2019-04-23T06:00:00+00:00,DK1,aFRR_DownActivated,8.5,187.69,25.14
228,2019-04-23T06:00:00+00:00,DK1,aFRR_UpActivated,29.1,387.61,51.92
229,2019-04-23T05:00:00+00:00,DK1,aFRR_DownActivated,0.8,189.85,25.43
230,2019-04-23T05:00:00+00:00,DK1,aFRR_UpActivated,51.1,389.78,52.21
231,2019-04-23T04:00:00+00:00,DK1,aFRR_DownActivated,4.8,119.9,16.06
232,2019-04-23T04:00:00+00:00,DK1,aFRR_UpActivated,57,319.83,42.84
233,2019-04-23T03:00:00+00:00,DK1,aFRR_DownActivated,43.3,-48.9,-6.55
234,2019-04-23T03:00:00+00:00,DK1,aFRR_UpActivated,3.9,151.03,20.23
235,2019-04-23T02:00:00+00:00,DK1,aFRR_DownActivated,25,-171.34,-22.95
236,2019-04-23T02:00:00+00:00,DK1,aFRR_UpActivated,1.8,28.59,3.83
237,2019-04-23T01:00:00+00:00,DK1,aFRR_DownActivated,65.1,-182.31,-24.42
238,2019-04-23T01:00:00+00:00,DK1,aFRR_UpActivated,0,17.62,2.36
239,2019-04-23T00:00:00+00:00,DK1,aFRR_DownActivated,14.7,-171.93,-23.03
240,2019-04-23T00:00:00+00:00,DK1,aFRR_UpActivated,0,28,3.75
241,2019-04-22T23:00:00+00:00,DK1,aFRR_DownActivated,17.9,-151.85,-20.34
242,2019-04-22T23:00:00+00:00,DK1,aFRR_UpActivated,8.6,48.08,6.44
243,2019-04-22T22:00:00+00:00,DK1,aFRR_DownActivated,50.5,-112.81,-15.11
244,2019-04-22T22:00:00+00:00,DK1,aFRR_UpActivated,0,87.12,11.67
245,2019-04-22T21:00:00+00:00,DK1,aFRR_DownActivated,28.3,-212.55,-28.47
246,2019-04-22T21:00:00+00:00,DK1,aFRR_UpActivated,22.2,-12.62,-1.69
247,2019-04-22T20:00:00+00:00,DK1,aFRR_DownActivated,89.2,-99.74,-13.36
248,2019-04-22T20:00:00+00:00,DK1,aFRR_UpActivated,0,100.19,13.42
249,2019-04-22T19:00:00+00:00,DK1,aFRR_DownActivated,30.1,-77.72,-10.41
250,2019-04-22T19:00:00+00:00,DK1,aFRR_UpActivated,16.9,122.21,16.37
251,2019-04-22T18:00:00+00:00,DK1,aFRR_DownActivated,37.7,27.17,3.64
252,2019-04-22T18:00:00+00:00,DK1,aFRR_UpActivated,0.1,227.1,30.42
253,2019-04-22T17:00:00+00:00,DK1,aFRR_DownActivated,13.8,12.47,1.67
254,2019-04-22T17:00:00+00:00,DK1,aFRR_UpActivated,5.6,212.4,28.45
255,2019-04-22T16:00:00+00:00,DK1,aFRR_DownActivated,40.5,-102.88,-13.78
256,2019-04-22T16:00:00+00:00,DK1,aFRR_UpActivated,7.7,97.05,13
257,2019-04-22T15:00:00+00:00,DK1,aFRR_DownActivated,28,-139.98,-18.75
258,2019-04-22T15:00:00+00:00,DK1,aFRR_UpActivated,26.8,84.44,11.31
259,2019-04-22T14:00:00+00:00,DK1,aFRR_DownActivated,20.4,-210.01,-28.13
260,2019-04-22T14:00:00+00:00,DK1,aFRR_UpActivated,46.2,62.71,8.4
261,2019-04-22T13:00:00+00:00,DK1,aFRR_DownActivated,79.9,-100.11,-13.41
262,2019-04-22T13:00:00+00:00,DK1,aFRR_UpActivated,0,99.82,13.37
263,2019-04-22T12:00:00+00:00,DK1,aFRR_DownActivated,81.6,-99.07,-13.27
264,2019-04-22T12:00:00+00:00,DK1,aFRR_UpActivated,0,100.86,13.51
265,2019-04-22T11:00:00+00:00,DK1,aFRR_DownActivated,53.4,-78.54,-10.52
266,2019-04-22T11:00:00+00:00,DK1,aFRR_UpActivated,0,121.39,16.26
267,2019-04-22T10:00:00+00:00,DK1,aFRR_DownActivated,91.4,-48.97,-6.56
268,2019-04-22T10:00:00+00:00,DK1,aFRR_UpActivated,0,199.03,26.66
269,2019-04-22T09:00:00+00:00,DK1,aFRR_DownActivated,20,77.04,10.32
270,2019-04-22T09:00:00+00:00,DK1,aFRR_UpActivated,2.2,321.02,43
271,2019-04-22T08:00:00+00:00,DK1,aFRR_DownActivated,64.5,153.87,20.61
272,2019-04-22T08:00:00+00:00,DK1,aFRR_UpActivated,4.5,353.79,47.39
273,2019-04-22T07:00:00+00:00,DK1,aFRR_DownActivated,7,176.93,23.7
274,2019-04-22T07:00:00+00:00,DK1,aFRR_UpActivated,41.9,376.86,50.48
